Bioma;Estado;Cenário;Erosão;Bioprospecção;Carbono;PFNM;PFM;Área;Valor;Valores_ha;Valor_pecuaria;Diferenca_pecuaria;Diferenca_pecuaria_ha
CAA;AC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;AC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;AC;ERL Florestas a Mais;18423126.98;61394086.4;2759764816;1523683246;0;224450.02;4363489726;19439.80792;1571150140;2792339586;12439.80792
MAT;AC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;AC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;AC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;AL;ERL Florestas a Mais;21680465.39;17116717.08;163775990.3;472714107.4;0;68355.81;675355635.9;9879.00341;478490670;196864965.9;2879.00341
CER;AL;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;AL;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;AL;ERL Florestas a Mais;4561630.66;1047236.093;181947527.4;300998389.4;0;20796.09;488575579.7;23492.62691;145572630;343002949.7;16492.62691
PAN;AL;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;AL;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;AM;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;AM;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;AM;ERL Florestas a Mais;84498900.1;281588070.2;12657845314;6988474785;0;1029454.98;20013436525;19439.80792;7206184860;12807251665;12439.80792
MAT;AM;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;AM;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;AM;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;AP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;AP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;AP;ERL Florestas a Mais;30062548.13;100181835.5;4503337717;2486320642;0;366253.76;7120268997;19439.80792;2563776320;4556492677;12439.80792
MAT;AP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;AP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;AP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;BA;ERL Florestas a Mais;1287803064;1016719905;9728168576;28078856478;0;4060282.84;40115608306;9879.00341;28421979880;11693628426;2879.00341
CER;BA;ERL Florestas a Mais;916889191.1;738438792.9;9666606878;20045886152;0;2699650.92;31370520665;11619.21372;18897556440;12472964225;4619.213722
FAM;BA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;BA;ERL Florestas a Mais;152954110.9;35114431.12;6100805691;10092649861;0;697304.91;16382221398;23492.62691;4881134370;11501087028;16492.62691
PAN;BA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;BA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;CE;ERL Florestas a Mais;855716090.6;675587445.4;6464148606;18657766828;0;2697966.37;26655916936;9879.00341;18885764590;7770152346;2879.00341
CER;CE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;CE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;CE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;CE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;CE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;DF;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;DF;ERL Florestas a Mais;26747326.2;21541603.36;281992513.4;584774977.4;0;78753.73;915135174;11619.21372;551276110;363859064;4619.213722
FAM;DF;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;DF;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;DF;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;DF;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;ES;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;ES;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;ES;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;ES;ERL Florestas a Mais;30663038.48;7039465.275;1223041594;2023295151;0;139790.21;3284179039;23492.62691;978531470;2305647569;16492.62691
PAN;ES;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;ES;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;GO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;GO;ERL Florestas a Mais;1036250095;834568971.9;10925008602;22655465501;0;3051092.27;35454344263;11619.21372;21357645890;14096698373;4619.213722
FAM;GO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;GO;ERL Florestas a Mais;1125756.703;258445.5297;44902506.12;74282856.25;0;5132.23;120574696.8;23492.62691;35925610;84649086.84;16492.62691
PAN;GO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;GO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;MA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;MA;ERL Florestas a Mais;1163746940;937251626.7;12269186165;25442920370;0;3426488.75;39816531591;11619.21372;23985421250;15831110341;4619.213722
FAM;MA;ERL Florestas a Mais;7766208.773;25880475.82;1163369810;642303676.4;0;94616.17;1839414787;19439.80792;662313190;1177101597;12439.80792
MAT;MA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;MA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;MA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;MG;ERL Florestas a Mais;142483373.6;112490555.5;1076330936;3106663052;0;449232.35;4438417150;9879.00341;3144626450;1293790700;2879.00341
CER;MG;ERL Florestas a Mais;1448685542;1166733792;15273245407;31672513682;0;4265450.28;49565443874;11619.21372;29858151960;19707291914;4619.213722
FAM;MG;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;MG;ERL Florestas a Mais;337897830.1;77572874.69;13477565215;22296128345;0;1540447.75;36190704713;23492.62691;10783134250;25407570463;16492.62691
PAN;MG;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;MG;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;MS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;MS;ERL Florestas a Mais;464029919.9;373717672;4892188565;10145054644;0;1366270.66;15876357071;11619.21372;9563894620;6312462451;4619.213722
FAM;MS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;MS;ERL Florestas a Mais;21885526.03;5024368.366;872937255.2;1444112551;0;99774.27;2344059475;23492.62691;698419890;1645639585;16492.62691
PAN;MS;ERL Florestas a Mais;2208240008;191379617.5;11524248474;13634627375;0;3800430.27;27562295905;7251.414581;26603011890;959284015.1;251.4145812
SUL;MS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;MT;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;MT;ERL Florestas a Mais;1223494570;985370819.4;12899095269;26749178744;0;3602407.22;41860741810;11619.21372;25216850540;16643891270;4619.213722
FAM;MT;ERL Florestas a Mais;109698709.2;365565087.8;16432749905;9072622987;0;1336465.71;25981973155;19439.80792;9355259970;16626713185;12439.80792
MAT;MT;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;MT;ERL Florestas a Mais;847168250.4;73420794.42;4421157745;5230782603;0;1457995.44;10573987388;7251.414581;10205968080;368019308.4;251.4145812
SUL;MT;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;PA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;PA;ERL Florestas a Mais;24811492.28;19982532.88;261583345.3;542451971.6;0;73053.94;848902396;11619.21372;511377580;337524816;4619.213722
FAM;PA;ERL Florestas a Mais;156145532.5;520346644.8;23390434599;12914003795;0;1902330.04;36982832901;19439.80792;13316310280;23666522621;12439.80792
MAT;PA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;PA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;PA;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;PB;ERL Florestas a Mais;231967516.7;183138243.8;1752301396;5057747407;0;731364.72;7225885928;9879.00341;5119553040;2106332888;2879.00341
CER;PB;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;PB;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;PB;ERL Florestas a Mais;2723399.729;625224.3343;108626910.8;179703047.7;0;12415.75;291690998.3;23492.62691;86910250;204780748.3;16492.62691
PAN;PB;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;PB;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;PE;ERL Florestas a Mais;320473356;253013561.8;2420881669;6987501132;0;1010412.62;9982880131;9879.00341;7072888340;2909991791;2879.00341
CER;PE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;PE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;PE;ERL Florestas a Mais;4948534.056;1136059.418;197379753.6;326528141.4;0;22559.95;530015048.4;23492.62691;157919650;372095398.4;16492.62691
PAN;PE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;PE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;PI;ERL Florestas a Mais;765063312.7;604017120.6;5779350185;16681201925;0;2412149.44;23832044693;9879.00341;16885046080;6946998613;2879.00341
CER;PI;ERL Florestas a Mais;1329658874;1070872798;14018367474;29070241706;0;3914993.04;45493055845;11619.21372;27404951280;18088104565;4619.213722
FAM;PI;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;PI;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;PI;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;PI;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;PR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;PR;ERL Florestas a Mais;17386864.31;14002929.93;183306754.8;380127834.3;0;51193.17;594875576.5;11619.21372;358352190;236523386.5;4619.213722
FAM;PR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;PR;ERL Florestas a Mais;260438513.7;59790156.63;10387983408;17184989100;0;1187317.25;27894388496;23492.62691;8311220750;19583167746;16492.62691
PAN;PR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;PR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;RJ;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;RJ;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
